location_code,school_code,emp_code,longitude,latitude,location_name,created_date,update_time,status
1,1,1,106.8074799,10.87332344,Ho Chi Minh city,40:00.0,40:00.0,1
4,4,1,106.6579056,10.7720747,Ho Chi Minh city,40:00.0,40:00.0,1
6,6,1,106.6611023,10.77349949,Ho Chi Minh city,40:00.0,40:00.0,1
8,8,1,106.6868439,10.82215881,Ho Chi Minh city,40:00.0,40:00.0,1
9,9,1,106.6286545,10.80615807,Ho Chi Minh city,40:00.0,40:00.0,1
10,10,1,106.641098,10.8483448,Ho Chi Minh city,40:00.0,40:00.0,1
11,11,1,106.6426697,10.85013008,Ho Chi Minh city,40:00.0,40:00.0,1
12,12,1,106.8030548,10.87000847,Ho Chi Minh city,40:00.0,40:00.0,1
13,13,1,106.7554321,10.85883331,Ho Chi Minh city,40:00.0,40:00.0,1
14,14,1,106.7168045,10.80451679,Ho Chi Minh city,40:00.0,40:00.0,1
15,15,1,106.7941742,10.84569645,Ho Chi Minh city,40:00.0,40:00.0,1
17,17,1,106.7318268,10.79206181,Ho Chi Minh city,40:00.0,40:00.0,1
18,18,1,106.6824799,10.7628355,Ho Chi Minh city,40:00.0,40:00.0,1
19,19,1,106.7027054,10.78586102,Ho Chi Minh city,40:00.0,40:00.0,1
20,20,1,106.8021011,10.87191296,Ho Chi Minh city,40:00.0,40:00.0,1
21,21,1,106.6947403,10.78308964,Ho Chi Minh city,40:00.0,40:00.0,1
22,22,1,106.6776047,10.77315521,Ho Chi Minh city,40:00.0,40:00.0,1
23,23,1,106.6683578,10.76105309,Ho Chi Minh city,40:00.0,40:00.0,1
24,24,1,106.6992874,10.79047203,Ho Chi Minh city,40:00.0,40:00.0,1
25,25,1,106.6856232,10.7827816,Ho Chi Minh city,40:00.0,40:00.0,1
26,26,1,106.6401291,10.70601845,Ho Chi Minh city,40:00.0,40:00.0,1
27,27,1,106.6722107,10.79604053,Ho Chi Minh city,40:00.0,40:00.0,1
28,28,1,106.6884003,10.79169369,Ho Chi Minh city,40:00.0,40:00.0,1
29,29,1,106.7109375,10.78967094,Ho Chi Minh city,40:00.0,40:00.0,1
30,30,1,106.6986008,10.76678562,Ho Chi Minh city,40:00.0,40:00.0,1
31,31,1,106.7782669,10.87050438,Ho Chi Minh city,40:00.0,40:00.0,1
32,32,1,106.6845932,10.78049755,Ho Chi Minh city,40:00.0,40:00.0,1
33,33,1,106.6947403,10.78319263,Ho Chi Minh city,40:00.0,40:00.0,1
34,34,1,106.6811676,10.81718254,Ho Chi Minh city,40:00.0,40:00.0,1
35,35,1,106.6944885,10.78198719,Ho Chi Minh city,40:00.0,40:00.0,1
36,36,1,106.7642822,10.84164429,Ho Chi Minh city,40:00.0,40:00.0,1
37,37,1,106.6792221,10.80496311,Ho Chi Minh city,40:00.0,40:00.0,1
38,38,1,106.7055206,10.76755524,Ho Chi Minh city,40:00.0,40:00.0,1
39,39,1,106.6902313,10.77632809,Ho Chi Minh city,40:00.0,40:00.0,1
40,40,1,106.6923065,10.7611475,Ho Chi Minh city,40:00.0,40:00.0,1
41,41,1,106.6954193,10.80244923,Ho Chi Minh city,40:00.0,40:00.0,1
42,42,1,106.7062225,10.78303814,Ho Chi Minh city,40:00.0,40:00.0,1
43,43,1,106.6179047,10.86695576,Ho Chi Minh city,40:00.0,40:00.0,1
44,44,1,106.6815643,10.7548275,Ho Chi Minh city,40:00.0,40:00.0,1
45,45,1,106.7003708,10.79055977,Ho Chi Minh city,40:00.0,40:00.0,1
46,46,1,106.8020935,10.95504951,Ho Chi Minh city,40:00.0,40:00.0,1
47,47,1,106.763504,10.85752678,Ho Chi Minh city,40:00.0,40:00.0,1
48,48,1,106.7634354,10.85779572,Ho Chi Minh city,40:00.0,40:00.0,1
49,49,1,106.7039108,10.77016068,Ho Chi Minh city,40:00.0,40:00.0,1
50,50,1,106.7615585,10.85859776,Ho Chi Minh city,40:00.0,40:00.0,1
51,51,1,106.7625732,10.85690403,Ho Chi Minh city,40:00.0,40:00.0,1
52,52,1,106.7611771,10.85698032,Ho Chi Minh city,40:00.0,40:00.0,1
53,53,1,106.7917633,10.87127686,Ho Chi Minh city,40:00.0,40:00.0,1
54,54,1,106.6897278,10.76572609,Ho Chi Minh city,40:00.0,40:00.0,1
55,55,1,106.7719116,10.85063267,Ho Chi Minh city,40:00.0,40:00.0,1
56,56,1,106.7720261,10.85197353,Ho Chi Minh city,40:00.0,40:00.0,1
57,57,1,106.7717972,10.85322094,Ho Chi Minh city,40:00.0,40:00.0,1
58,58,1,106.7966232,10.84505749,Ho Chi Minh city,40:00.0,40:00.0,1
59,59,1,106.6821747,10.76138306,Ho Chi Minh city,40:00.0,40:00.0,1
60,60,1,106.6825943,10.76098633,Ho Chi Minh city,40:00.0,40:00.0,1
61,61,1,106.6806641,10.78652573,Ho Chi Minh city,40:00.0,40:00.0,1
62,62,1,106.7962646,10.87113762,Ho Chi Minh city,40:00.0,40:00.0,1
63,63,1,106.66362,10.752882,Ho Chi Minh city,40:00.0,40:00.0,1
64,64,1,106.6906662,10.67540264,Ho Chi Minh city,40:00.0,40:00.0,1
65,65,1,106.6635513,10.75229263,Ho Chi Minh city,40:00.0,40:00.0,1
66,66,1,106.7973404,10.87278557,Ho Chi Minh city,40:00.0,40:00.0,1
67,67,1,106.6827545,10.76218414,Ho Chi Minh city,40:00.0,40:00.0,1
68,68,1,106.8013306,10.87060738,Ho Chi Minh city,40:00.0,40:00.0,1
69,69,1,106.706337,10.79271603,Ho Chi Minh city,40:00.0,40:00.0,1
70,70,1,106.6744614,10.83640575,Ho Chi Minh city,40:00.0,40:00.0,1
71,71,1,106.7199402,10.75213528,Ho Chi Minh city,40:00.0,40:00.0,1
72,72,1,106.6805878,10.81145859,Ho Chi Minh city,40:00.0,40:00.0,1
73,73,1,106.6678619,10.80304241,Ho Chi Minh city,40:00.0,40:00.0,1
74,74,1,106.7918243,10.84789371,Ho Chi Minh city,40:00.0,40:00.0,1
75,75,1,106.6660156,10.79668236,Ho Chi Minh city,40:00.0,40:00.0,1
76,76,1,106.8087769,10.81523705,Ho Chi Minh city,40:00.0,40:00.0,1
77,77,1,106.6667938,10.79643154,Ho Chi Minh city,40:00.0,40:00.0,1
78,78,1,106.6704178,10.76009178,Ho Chi Minh city,40:00.0,40:00.0,1
79,79,1,106.6997681,10.73266888,Ho Chi Minh city,40:00.0,40:00.0,1
80,80,1,106.6148376,11.1096344,Ho Chi Minh city,41:00.0,41:00.0,1
81,81,1,106.7309113,10.80549526,Ho Chi Minh city,41:00.0,41:00.0,1
82,82,1,106.7709122,10.82224178,Ho Chi Minh city,41:00.0,41:00.0,1
83,83,1,106.6633148,10.75436783,Ho Chi Minh city,41:00.0,41:00.0,1
84,84,1,106.6644745,10.75523949,Ho Chi Minh city,41:00.0,41:00.0,1
85,85,1,106.6612549,10.75817204,Ho Chi Minh city,41:00.0,41:00.0,1
86,86,1,106.6634216,10.75537777,Ho Chi Minh city,41:00.0,41:00.0,1
87,87,1,106.7026596,10.78539848,Ho Chi Minh city,41:00.0,41:00.0,1
88,88,1,106.6658936,10.77353954,Ho Chi Minh city,41:00.0,41:00.0,1
89,89,1,106.6653824,10.77381897,Ho Chi Minh city,41:00.0,41:00.0,1
90,90,1,106.6686478,10.77329445,Ho Chi Minh city,41:00.0,41:00.0,1
91,91,1,106.5789337,10.70903969,Ho Chi Minh city,41:00.0,41:00.0,1
92,92,1,106.7981262,10.88821507,Ho Chi Minh city,41:00.0,41:00.0,1
93,93,1,106.7978363,10.88943481,Ho Chi Minh city,41:00.0,41:00.0,1
94,94,1,106.7962875,10.86871147,Ho Chi Minh city,41:00.0,41:00.0,1
95,95,1,106.7023468,10.81237507,Ho Chi Minh city,41:00.0,41:00.0,1
96,96,1,106.6906052,10.7875824,Ho Chi Minh city,41:00.0,41:00.0,1
97,97,1,106.7866669,10.84798717,Ho Chi Minh city,41:00.0,41:00.0,1
98,98,1,106.6736908,10.79690361,Ho Chi Minh city,41:00.0,41:00.0,1
99,99,1,106.6740341,10.79764748,Ho Chi Minh city,41:00.0,41:00.0,1
100,100,1,106.6769409,10.77363873,Ho Chi Minh city,41:00.0,41:00.0,1
101,101,1,106.6808395,10.83656311,Ho Chi Minh city,41:00.0,41:00.0,1
102,102,1,106.65728,10.80078793,Ho Chi Minh city,41:00.0,41:00.0,1
103,103,1,106.6557159,10.80081177,Ho Chi Minh city,41:00.0,41:00.0,1
105,105,1,106.7007828,10.78937244,Ho Chi Minh city,41:00.0,41:00.0,1
125,125,1,106.6935349,10.78236198,Ho Chi Minh city,41:00.0,41:00.0,1
126,126,1,106.8133698,10.86251163,Ho Chi Minh city,41:00.0,41:00.0,1
127,127,1,106.7144547,10.80161762,Ho Chi Minh city,41:00.0,41:00.0,1
128,128,1,106.7149963,10.80958652,Ho Chi Minh city,41:00.0,41:00.0,1
129,129,1,106.8089523,10.84076118,Ho Chi Minh city,41:00.0,41:00.0,1
130,130,1,106.6778336,10.73799706,Ho Chi Minh city,41:00.0,41:00.0,1
131,131,1,106.6739349,10.79950047,Ho Chi Minh city,41:00.0,41:00.0,1
132,132,1,106.6774216,10.81666279,Ho Chi Minh city,41:00.0,41:00.0,1
133,133,1,106.693306,10.76275921,Ho Chi Minh city,41:00.0,41:00.0,1
134,134,1,106.69487,10.81227016,Ho Chi Minh city,41:00.0,41:00.0,1
135,135,1,106.8098831,10.8411274,Ho Chi Minh city,41:00.0,41:00.0,1
136,136,1,106.8100967,10.84165955,Ho Chi Minh city,41:00.0,41:00.0,1
137,137,1,106.6896744,10.77876377,Ho Chi Minh city,41:00.0,41:00.0,1
138,138,1,106.6786652,10.81144619,Ho Chi Minh city,41:00.0,41:00.0,1
139,139,1,106.652832,10.80323124,Ho Chi Minh city,41:00.0,41:00.0,1
142,142,1,106.6663132,10.78664875,Ho Chi Minh city,41:00.0,41:00.0,1
149,149,1,106.6925201,10.7702198,Ho Chi Minh city,41:00.0,41:00.0,1
150,150,1,106.679245,10.77243519,Ho Chi Minh city,41:00.0,41:00.0,1
151,151,1,106.6650085,10.76929951,Ho Chi Minh city,41:00.0,41:00.0,1
152,152,1,106.6301575,10.85671043,Ho Chi Minh city,41:00.0,41:00.0,1
153,153,1,106.6603546,10.75327682,Ho Chi Minh city,41:00.0,41:00.0,1
154,154,1,106.6670532,10.75177193,Ho Chi Minh city,41:00.0,41:00.0,1
156,156,1,106.7035675,10.79740429,Ho Chi Minh city,41:00.0,41:00.0,1
157,157,1,106.6487961,10.71457386,Ho Chi Minh city,41:00.0,41:00.0,1
158,158,1,106.6800461,10.79874706,Ho Chi Minh city,41:00.0,41:00.0,1
159,159,1,106.7102432,10.7609005,Ho Chi Minh city,41:00.0,41:00.0,1
160,160,1,106.7065964,10.79916573,Ho Chi Minh city,41:00.0,41:00.0,1
161,161,1,106.6674881,10.77601814,Ho Chi Minh city,41:00.0,41:00.0,1
162,162,1,106.667366,10.77601433,Ho Chi Minh city,41:00.0,41:00.0,1
163,163,1,106.6006241,10.86552525,Ho Chi Minh city,41:00.0,41:00.0,1
165,165,1,106.6628571,10.78213024,Ho Chi Minh city,41:00.0,41:00.0,1
166,166,1,106.6649094,10.80907726,Ho Chi Minh city,41:00.0,41:00.0,1
169,169,1,106.6813049,10.7729454,Ho Chi Minh city,41:00.0,41:00.0,1
170,170,1,106.6834183,10.77830791,Ho Chi Minh city,41:00.0,41:00.0,1
173,173,1,106.7102356,10.76098633,Ho Chi Minh city,41:00.0,41:00.0,1
174,174,1,106.6595306,10.79708958,Ho Chi Minh city,41:00.0,41:00.0,1
176,176,1,106.633934,10.77046013,Ho Chi Minh city,41:00.0,41:00.0,1
177,177,1,106.8016205,10.87758446,Ho Chi Minh city,41:00.0,41:00.0,1
178,178,1,106.7326126,10.80550194,Ho Chi Minh city,41:00.0,41:00.0,1
179,179,1,106.6749496,10.76807308,Ho Chi Minh city,41:00.0,41:00.0,1
180,180,1,106.6413803,10.78427696,Ho Chi Minh city,41:00.0,41:00.0,1
181,181,1,106.6754913,10.86108398,Ho Chi Minh city,41:00.0,41:00.0,1
182,182,1,106.6957703,10.72895145,Ho Chi Minh city,41:00.0,41:00.0,1
183,183,1,106.7202988,10.72673321,Ho Chi Minh city,41:00.0,41:00.0,1
184,184,1,106.6690063,10.81620216,Ho Chi Minh city,41:00.0,41:00.0,1
