school_code,name,address,location_name,created_date,update_time,status
1,Tru?ng d?i h?c an ninh nhân dân,"Km18 XL Hà N?i, Phu?ng Linh Trung, qu?n Th? Ð?c, Thành ph? H? Chí Minh, Vietnam",H? Chí Minh,40:00.0,40:00.0,1
4,Ð?i h?c Bách khoa TP.HCM (ÐHBK),"268 Lý Thu?ng Ki?t, Phu?ng 14, Qu?n 10, Thành ph? H? Chí Minh, Vietnam",H? Chí Minh,40:00.0,40:00.0,1
6,Ð?i h?c Bách khoa TP.HCM (ÐHBK),"Kios 98, 142A  Tô Hi?n Thành, Phu?ng 14, Qu?n 10, Thành ph? H? Chí Minh, Vietnam",H? Chí Minh,40:00.0,40:00.0,1
8,Tru?ng Ð?i h?c Công nghi?p TP.HCM,"12 Nguy?n Van B?o, Phu?ng 4, qu?n Gò V?p, Thành ph? H? Chí Minh, Vietnam",H? Chí Minh,40:00.0,40:00.0,1
9,Tru?ng Ð?i h?c Công nghi?p Th?c ph?m TP.HCM ,"140 Lê Tr?ng T?n, Tây Th?nh, qu?n Tân Phú, Thành ph? H? Chí Minh, Vietnam",H? Chí Minh,40:00.0,40:00.0,1
10,Tru?ng Ð?i h?c Công nghi?p TP.HCM ,"53 Pham Van Chieu, Phu?ng 9, qu?n Gò V?p, Thành ph? H? Chí Minh, Vietnam",H? Chí Minh,40:00.0,40:00.0,1
11,Tru?ng Ð?i h?c Công nghi?p Th?c ph?m TP.HCM - IUH,"s? 20, du?ng 53, Phu?ng 14, qu?n Gò V?p, Thành ph? H? Chí Minh, Vietnam",H? Chí Minh,40:00.0,40:00.0,1
12,Tru?ng Ð?i H?c Công Ngh? Thông Tin - ÐHQGHCM,"du?ng Hàn Thuyên, khu ph? 6 P, qu?n Th? Ð?c, Thành ph? H? Chí Minh, Vietnam",H? Chí Minh,40:00.0,40:00.0,1
13,Tru?ng d?i h?c c?nh sát nhân dân,"179A . Kha V?n Cân, Linh Chi?u, qu?n Th? Ð?c, Thành ph? H? Chí Minh, Vietnam",H? Chí Minh,40:00.0,40:00.0,1
14,Tru?ng Ð?i h?c Giao thông V?n t?i TP.HCM,"02 Võ Oanh, Phu?ng 25, qu?n Bình Th?nh, Thành ph? H? Chí Minh, Vietnam",H? Chí Minh,40:00.0,40:00.0,1
15,Phân hi?u Ð?i h?c Giao thông V?n t?i TP.HCM,"450, 451 Lê Van Vi?t, Tang Nhon Phú A, qu?n Th? Ð?c, Thành ph? H? Chí Minh, Vietnam",H? Chí Minh,40:00.0,40:00.0,1
17,Tru?ng Ð?i h?c Giao thông V?n t?i TP.HCM - Co s? 2,"10  Ð 12, P. Bình An, Qu?n 2, Thành ph? H? Chí Minh, Vietnam",H? Chí Minh,40:00.0,40:00.0,1
18,Tru?ng d?i h?c Khoa h?c t? nhiên - VNUHCM,"227 Ð. Nguy?n Van C?, Phu?ng 4, Qu?n 5, Thành ph? H? Chí Minh, Vietnam",H? Chí Minh,40:00.0,40:00.0,1
19,Tru?ng Ð?i h?c Khoa h?c Xã h?i và Nhân van (HCMUSSH) - Ð?i h?c Qu?c gia TP.HCM,"10-12 d. dinh Tiên Hoàng, B?n Nghé, Qu?n 1, Thành ph? H? Chí Minh, Vietnam",H? Chí Minh,40:00.0,40:00.0,1
