school_code,majors_code
1,32
1,59
1,73
4,32
4,29
4,34
4,42
4,41
4,45
4,44
4,49
4,50
4,53
4,54
4,71
6,32
6,29
6,34
6,42
6,41
6,45
6,44
6,49
6,50
6,53
6,54
6,71
8,19
8,20
8,21
8,22
8,24
8,25
8,32
8,34
8,35
8,44
8,45
8,50
8,75
8,77
9,19
9,20
9,21
9,22
9,24
9,25
9,32
9,34
9,35
9,44
9,45
9,50
9,75
9,77
10,19
10,20
10,21
10,22
10,24
10,25
10,32
10,34
10,35
10,44
10,45
10,50
10,75
10,77
11,19
11,20
11,21
11,22
11,24
11,25
11,32
11,34
11,35
11,44
11,45
11,50
11,75
11,77
12,32
12,31
13,73
14,21
14,22
14,32
14,34
14,35
14,45
14,44
14,53
14,54
14,75
14,76
14,77
15,21
15,22
15,32
15,34
15,35
15,45
15,44
15,53
15,54
15,75
15,76
15,77
17,21
17,22
17,32
17,34
17,35
17,45
17,44
17,53
17,54
17,75
17,76
17,77
18,24
18,25
18,29
18,30
18,31
18,32
18,35
18,35
18,44
18,45
18,47
18,48
18,49
19,11
19,10
19,12
19,13
19,14
19,15
19,16
19,18
19,22
19,68
19,69
20,11
20,10
20,12
20,13
20,14
20,15
20,16
20,18
20,22
20,68
20,69
21,9
21,19
21,20
21,21
21,22
21,30
21,69
21,76
21,77
22,9
22,19
22,20
22,21
22,22
22,30
22,69
22,76
22,77
23,9
23,19
23,20
23,21
23,22
23,30
23,69
23,76
23,77
24,9
24,19
24,20
24,21
24,22
24,30
24,69
24,76
24,77
25,9
25,19
25,20
25,21
25,22
25,30
25,69
25,76
25,77
26,9
26,19
26,20
26,21
26,22
26,30
26,69
26,76
26,77
27,9
27,19
27,20
27,21
27,22
27,30
27,69
27,76
27,77
28,9
28,19
28,20
28,21
28,22
28,30
28,69
28,76
28,77
29,9
29,19
29,20
29,21
29,22
29,30
29,69
29,76
29,77
32,9
32,19
32,20
32,21
32,22
32,30
32,69
32,76
32,77
33,9
33,19
33,20
33,21
33,22
33,30
33,69
33,76
33,77
34,9
34,19
34,20
34,21
34,22
34,30
34,69
34,76
34,77
30,19
30,21
30,22
30,68
30,69
30,75
30,76
30,77
31,9
31,19
31,21
31,22
31,23
31,68
31,69
31,75
31,76
31,77
35,3
35,52
35,33
35,53
35,54
36,3
36,52
36,33
36,53
36,54
38,23
39,19
39,20
39,22
39,23
39,24
39,25
39,32
39,53
39,54
39,68
39,75
39,76
39,77
39,50
39,8
40,19
40,20
40,22
40,23
40,24
40,25
40,32
40,53
40,54
40,68
40,75
40,76
40,77
40,50
40,8
41,3
41,6
42,7
42,13
42,22
42,14
42,12
42,24
42,25
42,32
42,35
42,45
42,68
42,23
42,21
43,9
43,21
43,22
43,23
43,12
43,67
43,76
45,19
45,20
45,22
45,23
45,24
45,25
45,32
45,53
45,54
45,68
45,75
45,76
45,77
45,50
45,8
46,9
46,8
46,19
46,20
46,21
46,23
46,32
46,33
46,34
46,35
46,44
46,45
46,50
46,68
46,69
46,75
46,76
46,77
47,7
47,20
47,21
47,22
47,75
47,76
47,77
48,7
48,20
48,21
48,22
48,75
48,76
48,77
49,7
49,20
49,21
49,22
49,75
49,76
49,77
50,7
50,20
50,21
50,22
50,75
50,76
50,77
51,7
51,20
51,21
51,22
51,75
51,76
51,77
52,7
52,20
52,21
52,22
52,75
52,76
52,77
53,19
53,20
53,21
53,22
53,24
53,25
53,32
53,44
53,45
53,55
53,56
53,71
53,58
54,4
54,5
54,15
54,18
55,8
55,31
55,32
55,33
55,34
55,35
55,44
55,45
55,71
56,8
56,31
56,32
56,33
56,34
56,35
56,44
56,45
56,71
57,8
57,31
57,32
57,33
57,34
57,35
57,44
57,45
57,71
58,8
58,31
58,32
58,33
58,34
58,35
58,44
58,45
58,71
59,1
59,2
59,7
59,8
59,13
59,32
59,67
60,1
60,2
60,7
60,8
60,13
60,32
60,67
61,1
61,2
61,7
61,8
61,13
61,32
61,67
62,1
62,2
62,7
62,8
62,13
62,32
62,67
63,1
63,2
63,7
63,8
63,13
63,32
63,67
64,1
64,2
64,7
64,8
64,13
64,32
64,67
65,1
65,2
65,7
65,8
65,13
65,32
65,67
66,1
66,2
66,7
66,8
66,13
66,32
66,67
67,1
67,2
67,7
67,8
67,13
67,32
67,67
69,19
69,20
69,21
69,22
69,32
69,33
69,34
69,35
69,41
69,24
69,25
69,44
69,45
69,8
69,75
69,76
69,77
70,32
70,73
70,74
71,9
71,8
71,19
71,20
71,21
71,22
71,23
71,75
71,76
71,77
72,9
72,8
72,19
72,20
72,21
72,22
72,23
72,75
72,76
72,77
72,77
73,9
73,8
73,19
73,20
73,21
73,22
73,23
73,75
73,76
73,77
74,9
74,8
74,19
74,20
74,21
74,22
74,23
74,75
74,76
74,77
75,9
75,8
75,19
75,20
75,21
75,22
75,23
75,75
75,76
75,77
76,9
76,8
76,19
76,20
76,21
76,22
76,23
76,75
76,76
76,77
77,13
77,22
77,32
77,48
77,49
77,54
77,71
77,77
78,13
78,22
78,32
78,48
78,49
78,54
78,71
78,77
79,8
79,9
79,20
79,19
79,21
79,22
79,30
79,31
79,32
79,29
79,67
79,75
79,77
79,76
79,23
79,35
79,45
79,60
80,20
80,21
80,22
80,32
80,34
80,53
81,17
81,22
81,68
82,17
82,22
82,68
83,59
83,60
83,61
83,62
83,63
83,64
83,65
83,66
84,59
84,60
84,61
84,62
84,63
84,64
84,65
84,66
85,59
85,60
85,61
85,62
85,63
85,64
85,65
85,66
88,59
88,60
88,61
88,62
88,63
88,64
88,65
88,66
92,59
92,60
92,61
92,62
92,63
92,64
92,65
92,66
95,10
95,23
95,67
96,10
96,23
96,67
97,21
97,22
97,32
97,35
97,45
97,75
97,76
97,77
105,21
105,22
105,32
105,35
105,45
105,75
105,76
105,77
98,8
98,22
98,32
98,35
98,45
98,76
98,77
99,8
99,22
99,32
99,35
99,45
99,76
99,77
100,23
100,22
102,32
102,45
102,35
127,8
127,20
127,19
127,21
127,22
127,23
127,32
127,33
127,35
127,45
127,53
127,58
127,61
127,68
127,69
127,71
127,75
127,76
127,77
129,8
129,20
129,19
129,21
129,22
129,23
129,32
