location_code,school_code,emp_code,longitude,latitude,location_name,created_date,update_time,status
1,1,1,106.8074826,10.8733239,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
2,2,1,106.8032044,10.8721754,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
3,3,1,106.8066598,10.8713888,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
4,4,1,106.6579018,10.772075,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
5,5,1,106.8053863,10.8805585,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
6,6,1,106.6611055,10.7734998,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
7,7,1,106.6602403,10.7754134,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
8,8,1,106.6868454,10.8221589,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
9,9,1,106.628656,10.8061579,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
10,10,1,106.6410976,10.8483448,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
11,11,1,106.6426707,10.8501305,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
12,12,1,106.8030541,10.8700089,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
13,13,1,106.7554336,10.8588331,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
14,14,1,106.7168007,10.8045172,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
15,15,1,106.7941715,10.8456964,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
16,16,1,106.7170736,10.8049159,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
17,17,1,106.7318278,10.7920622,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
18,18,1,106.6824824,10.7628356,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
19,19,1,106.7027086,10.7858607,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
20,20,1,106.8020985,10.8719125,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
21,21,1,106.6947434,10.7830898,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
22,22,1,106.6776034,10.7731552,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
23,23,1,106.668358,10.7610532,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
24,24,1,106.6992902,10.7904716,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
25,25,1,106.6856197,10.7827814,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
26,26,1,106.6401289,10.706018,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
27,27,1,106.6722079,10.7960409,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
28,28,1,106.688399,10.7916937,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
29,29,1,106.7109366,10.7896706,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
30,30,1,106.6986019,10.7667855,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
31,31,1,106.7782705,10.8705048,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
32,32,1,106.68459,10.7804973,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
33,33,1,106.6947378,10.7831931,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
34,34,1,106.6811711,10.8171824,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
35,35,1,106.6944895,10.7819872,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
36,36,1,106.7642843,10.8416441,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
37,37,1,106.6792228,10.8049627,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
38,38,1,106.70552,10.7675549,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
39,39,1,106.6902291,10.7763284,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
40,40,1,106.6923099,10.7611471,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
41,41,1,106.6954192,10.8024495,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
42,42,1,106.7062212,10.7830382,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
43,43,1,106.6179041,10.8669557,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
44,44,1,106.6815618,10.7548273,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
45,45,1,106.7003724,10.7905596,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
46,46,1,106.8020956,10.9550497,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
47,47,1,106.7635063,10.857527,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
48,48,1,106.7634357,10.8577955,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
49,49,1,106.7039075,10.7701603,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
50,50,1,106.7615583,10.8585979,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
51,51,1,106.7625713,10.8569038,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
52,52,1,106.7611775,10.8569806,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
53,53,1,106.7917617,10.8712764,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
54,54,1,106.6897254,10.7657257,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
55,55,1,106.7719131,10.8506324,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
56,56,1,106.7720282,10.851974,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
57,57,1,106.7717978,10.8532212,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
58,58,1,106.7966214,10.8450575,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
59,59,1,106.6821711,10.7613832,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
60,60,1,106.6825942,10.7609868,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
61,61,1,106.680667,10.7865253,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
62,62,1,106.7962683,10.8711373,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
63,63,1,106.66362,10.7528818,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
64,64,1,106.6906639,10.6754031,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
65,65,1,106.6635526,10.7522923,Ho Chi Minh city,7/6/2023 20:40,7/6/2023 20:40,1
