school_code,name,longitude,latitude,location_name,address
1,Tru?ng d?i h?c an ninh nhân dân,106.8074799,10.87332344,H? Chí Minh,"Km18 XL Hà N?i, Phu?ng Linh Trung, qu?n Th? Ð?c, Thành ph? H? Chí Minh, Vietnam"
2,Ð?i h?c Bách khoa TP.HCM (ÐHBK),106.6579056,10.7720747,H? Chí Minh,"268 Lý Thu?ng Ki?t, Phu?ng 14, Qu?n 10, Thành ph? H? Chí Minh, Vietnam"
3,Ð?i h?c Bách khoa TP.HCM (ÐHBK),106.6611023,10.77349949,H? Chí Minh,"Kios 98, 142A  Tô Hi?n Thành, Phu?ng 14, Qu?n 10, Thành ph? H? Chí Minh, Vietnam"
4,Tru?ng Ð?i h?c Công nghi?p TP.HCM,106.6868439,10.82215881,H? Chí Minh,"12 Nguy?n Van B?o, Phu?ng 4, qu?n Gò V?p, Thành ph? H? Chí Minh, Vietnam"
5,Tru?ng Ð?i h?c Công nghi?p Th?c ph?m TP.HCM ,106.6286545,10.80615807,H? Chí Minh,"140 Lê Tr?ng T?n, Tây Th?nh, qu?n Tân Phú, Thành ph? H? Chí Minh, Vietnam"
6,Tru?ng Ð?i h?c Công nghi?p TP.HCM ,106.641098,10.8483448,H? Chí Minh,"53 Pham Van Chieu, Phu?ng 9, qu?n Gò V?p, Thành ph? H? Chí Minh, Vietnam"
7,Tru?ng Ð?i h?c Công nghi?p Th?c ph?m TP.HCM - IUH,106.6426697,10.85013008,H? Chí Minh,"s? 20, du?ng 53, Phu?ng 14, qu?n Gò V?p, Thành ph? H? Chí Minh, Vietnam"
8,Tru?ng Ð?i H?c Công Ngh? Thông Tin - ÐHQGHCM,106.8030548,10.87000847,H? Chí Minh,"du?ng Hàn Thuyên, khu ph? 6 P, qu?n Th? Ð?c, Thành ph? H? Chí Minh, Vietnam"
9,Tru?ng d?i h?c c?nh sát nhân dân,106.7554321,10.85883331,H? Chí Minh,"179A . Kha V?n Cân, Linh Chi?u, qu?n Th? Ð?c, Thành ph? H? Chí Minh, Vietnam"
10,Tru?ng Ð?i h?c Giao thông V?n t?i TP.HCM,106.7168045,10.80451679,H? Chí Minh,"02 Võ Oanh, Phu?ng 25, qu?n Bình Th?nh, Thành ph? H? Chí Minh, Vietnam"
11,Phân hi?u Ð?i h?c Giao thông V?n t?i TP.HCM,106.7941742,10.84569645,H? Chí Minh,"450, 451 Lê Van Vi?t, Tang Nhon Phú A, qu?n Th? Ð?c, Thành ph? H? Chí Minh, Vietnam"
12,Tru?ng Ð?i h?c Giao thông V?n t?i TP.HCM - Co s? 2,106.7318268,10.79206181,H? Chí Minh,"10  Ð 12, P. Bình An, Qu?n 2, Thành ph? H? Chí Minh, Vietnam"
13,Tru?ng d?i h?c Khoa h?c t? nhiên - VNUHCM,106.6824799,10.7628355,H? Chí Minh,"227 Ð. Nguy?n Van C?, Phu?ng 4, Qu?n 5, Thành ph? H? Chí Minh, Vietnam"
14,Tru?ng Ð?i h?c Khoa h?c Xã h?i và Nhân van (HCMUSSH) - Ð?i h?c Qu?c gia TP.HCM,106.7027054,10.78586102,H? Chí Minh,"10-12 d. dinh Tiên Hoàng, B?n Nghé, Qu?n 1, Thành ph? H? Chí Minh, Vietnam"
15,Tru?ng Ð?i h?c Khoa h?c Xã h?i và Nhân van - Ð?i h?c Qu?c gia TP.HCM,106.8021011,10.87191296,H? Chí Minh,"VRC2+QR9, Khu Ph? 6, qu?n Th? Ð?c, Thành ph? H? Chí Minh, Vietnam"
16,Ð?i h?c Kinh t? TP.HCM (UEH) - Co s? A,106.6947403,10.78308964,H? Chí Minh,"59C Nguy?n Ðình Chi?u, Phu?ng 6, Qu?n 3, Thành ph? H? Chí Minh, Vietnam"
17,Ð?i h?c Kinh t? TP.HCM (UEH) - Co s? C,106.6776047,10.77315521,H? Chí Minh,"91C d. 3 Tháng 2, Phu?ng 11, Qu?n 10, Thành ph? H? Chí Minh, Vietnam"
18,Ð?i h?c Kinh t? TP.HCM (UEH) - Co s? B,106.6683578,10.76105309,H? Chí Minh,"279 Ð. Nguy?n Tri Phuong, Phu?ng 5, Qu?n 10, Thành ph? H? Chí Minh, Vietnam"
19,Ð?i h?c Kinh t? TP.HCM (UEH) - Co s? E,106.6992874,10.79047203,H? Chí Minh,"54 Ð. Nguy?n Van Th?, Ða Kao, Qu?n 1, Thành ph? H? Chí Minh, Vietnam"
20,Ð?i h?c Kinh t? TP.HCM (UEH) - Co s? V,106.6856232,10.7827816,H? Chí Minh,"232/6 Ð. Võ Th? Sáu, Qu?n 3, Thành ph? H? Chí Minh, Vietnam"
21,Ð?i h?c Kinh t? TP.HCM (UEH) - Co s? Nguy?n Van Linh,106.6401291,10.70601845,H? Chí Minh,"Khu Ch?c Nang S? 15, Ðô Th? M?i Nam Thành Ph?, Phong Phú, qu?n Bình Chánh, Thành ph? H? Chí Minh"
22,Ð?i h?c Kinh t? TP.HCM (UEH) - Co s? H,106.6722107,10.79604053,H? Chí Minh,"1a Hoàng Di?u, Phu?ng 10, qu?n Phú Nhu?n, Thành ph? H? Chí Minh, Vietnam"
23,Ð?i h?c Kinh t? TP.HCM (UEH) - Co s? D,106.6884003,10.79169369,H? Chí Minh,"96 Ð. Tr?n Quang Kh?i, Phu?ng Tân Ð?nh, Qu?n 1, Thành ph? H? Chí Minh"
24,Tru?ng d?i H?c Kinh T? Tp.Hcm ,106.7109375,10.78967094,H? Chí Minh,"19 Nguy?n H?u C?nh, Phu?ng 19, qu?n Bình Th?nh, H? Chí Minh, Vietnam, Thành ph? H? Chí Minh."
25,Ð?i h?c Kinh t? qu?c dân - Khu v?c Tp.HCM,106.6986008,10.76678562,H? Chí Minh,"91 Ð. Ký Con, Phu?ng Nguy?n Thái Bình, Qu?n 1, Thành ph? H? Chí Minh 70000"
,"Tru?ng d?i h?c kinh t? - lu?t, d?i h?c qu?c gia HCM",106.7782669,10.87050438,H? Chí Minh,"669 QL1A, khu ph? 3, qu?n Th? Ð?c, Thành ph? H? Chí Minh"
,Tru?ng Ð?i H?c Kinh T? Tp.Hcm,106.6845932,10.78049755,H? Chí Minh,"236, 2 Ð. Võ Th? Sáu, Qu?n 3, Thành ph? H? Chí Minh, Vietnam"
,Tru?ng Ð?i H?c Kinh T? Tp.Hcm,106.6947403,10.78319263,H? Chí Minh,"79 Nguy?n Ðình Chi?u, Phu?ng 6, Qu?n 3, Thành ph? H? Chí Minh, Vietnam"
,Tru?ng Ð?i H?c Kinh T? Tp.Hcm,106.6811676,10.81718254,H? Chí Minh,"92 Nguy?n Thái Son, Phu?ng 3, qu?n Gò V?p, Thành ph? H? Chí Minh, Vietnam"
,Ð?i h?c ki?n trúc thành ph? h? chí minh,106.6944885,10.78198719,H? Chí Minh,"196 Pasteur, Phu?ng 6, Qu?n 3, Thành ph? H? Chí Minh"
,Ð?i h?c Ki?n trúc TP.HCM co s? Th? Ð?c,106.7642822,10.84164429,H? Chí Minh,"48 Ð?ng Van Bi, Bình Th?, Th? Ð?c, Thành ph? H? Chí Minh"
,Ð?i h?c ki?n trúc TP.HCM - Ký túc xá,106.6792221,10.80496311,H? Chí Minh," RM3H+XMQ, Lê T? Tài, Phu?ng 4,qu?n Phú Nhu?n, Thành ph? H? Chí Minh"
,Ð?i h?c lu?t thành ph? h? chí mình,106.7055206,10.76755524,H? Chí Minh,"2 Nguy?n T?t Thành, Phu?ng 13, Qu?n 4, Thành ph? H? Chí Minh"
,Ð?i h?c m? - Campus 1,106.6902313,10.77632809,H? Chí Minh,"97 Võ Van T?n, Phu?ng 6, Qu?n 3, Thành ph? H? Chí Minh 700000"
,Ð?i h?c m?- Campus 2,106.6923065,10.7611475,H? Chí Minh,"7 H? H?o H?n, Phu?ng Cô Giang, Qu?n 1, Thành ph? H? Chí Minh"
,Ð?i h?c m? thu?t thành ph? h? chí minh,106.6954193,10.80244923,H? Chí Minh,"5 Phan Ðang Luu, Phu?ng 3, qu?n Bình Th?nh, Thành ph? H? Chí Minh"
,Ð?i h?c sài gòn - Campus 2,106.7062225,10.78303814,H? Chí Minh,"4 Ð. Tôn Ð?c Th?ng, B?n Nghé, Qu?n 1, Thành ph? H? Chí Minh"
